index,url,filename,status,size_bytes,error
65,https://www.war.gov/medialink/ufo/release_1/dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,downloaded,2412310,
66,https://www.war.gov/medialink/ufo/release_1/dow-uap-d61-mission-report-persian-gulf-august-2020.pdf,dow-uap-d61-mission-report-persian-gulf-august-2020.pdf,downloaded,877324,
67,https://www.war.gov/medialink/ufo/release_1/dow-uap-d62-mission-report-strait-of-hormuz-september-2020.pdf,dow-uap-d62-mission-report-strait-of-hormuz-september-2020.pdf,downloaded,1045437,
68,https://www.war.gov/medialink/ufo/release_1/dow-uap-d63-mission-report-strait-of-hormuz-october-2020.pdf,dow-uap-d63-mission-report-strait-of-hormuz-october-2020.pdf,downloaded,3311583,
69,https://www.war.gov/medialink/ufo/release_1/dow-uap-d64-mission-report-iran-november-2020.pdf,dow-uap-d64-mission-report-iran-november-2020.pdf,downloaded,860506,
70,https://www.war.gov/medialink/ufo/release_1/dow-uap-d65-mission-report-persian-gulf-july-2020.pdf,dow-uap-d65-mission-report-persian-gulf-july-2020.pdf,downloaded,3043075,
71,https://www.war.gov/medialink/ufo/release_1/dow-uap-d7-mission-report-arabian-gulf-2020.pdf,dow-uap-d7-mission-report-arabian-gulf-2020.pdf,downloaded,27337,
72,https://www.war.gov/medialink/ufo/release_1/dow-uap-d74-mission-report-syria-november-2023.pdf,dow-uap-d74-mission-report-syria-november-2023.pdf,downloaded,719044,
73,https://www.war.gov/medialink/ufo/release_1/dow-uap-d75-mission-report-gulf-of-aden-july-2024.pdf,dow-uap-d75-mission-report-gulf-of-aden-july-2024.pdf,downloaded,792150,
74,https://www.war.gov/medialink/ufo/release_1/dow-uap-d8-mission-report-djibouti-2025.pdf,dow-uap-d8-mission-report-djibouti-2025.pdf,downloaded,29154,
75,https://www.war.gov/medialink/ufo/release_1/dow-uap-pr20.pdf,dow-uap-pr20.pdf,downloaded,2292342,
76,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a1.png,fbi-photo-a1.png,downloaded,94513,
77,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a2.png,fbi-photo-a2.png,downloaded,98192,
78,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a3.png,fbi-photo-a3.png,downloaded,94807,
79,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a4.png,fbi-photo-a4.png,downloaded,96879,
80,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a5.png,fbi-photo-a5.png,downloaded,89225,
81,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a6.png,fbi-photo-a6.png,downloaded,80159,
82,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a7.png,fbi-photo-a7.png,downloaded,88727,
83,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a8.png,fbi-photo-a8.png,downloaded,87292,
84,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b1.pdf,fbi-photo-b1.pdf,downloaded,613116,
85,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b10.pdf,fbi-photo-b10.pdf,downloaded,601748,
86,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b11.pdf,fbi-photo-b11.pdf,downloaded,582514,
87,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b12.pdf,fbi-photo-b12.pdf,downloaded,574722,
88,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b13.pdf,fbi-photo-b13.pdf,downloaded,434067,
89,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b14.pdf,fbi-photo-b14.pdf,downloaded,448290,
90,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b15.pdf,fbi-photo-b15.pdf,downloaded,427316,
91,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b16.pdf,fbi-photo-b16.pdf,downloaded,433987,
92,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b17.pdf,fbi-photo-b17.pdf,downloaded,435400,
93,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b18.pdf,fbi-photo-b18.pdf,downloaded,429941,
94,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b19.pdf,fbi-photo-b19.pdf,downloaded,600310,
95,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b2.pdf,fbi-photo-b2.pdf,downloaded,583544,
